000AD9A7, VCU_INV_Torque_Command, -338
000AD9A7, VCU_INV_Speed_Command, -368
000AD9A7, VCU_INV_Direction_Command, CW
000AD9A7, VCU_INV_Inverter_Enable, Turn the inverter OFF
000AD9A7, VCU_INV_Inverter_Discharge, Discharge Disable
000AD9A7, VCU_INV_Speed_Mode_Enable, 0
000AD9A7, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A7, VCU_INV_Torque_Command, -373
000AD9A7, VCU_INV_Speed_Command, -373
000AD9A7, VCU_INV_Direction_Command, CW
000AD9A7, VCU_INV_Inverter_Enable, Turn the Inverter ON
000AD9A7, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000AD9A7, VCU_INV_Speed_Mode_Enable, 1
000AD9A7, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A7, VCU_INV_Torque_Command, -379
000AD9A7, VCU_INV_Speed_Command, -379
000AD9A7, VCU_INV_Direction_Command, CW
000AD9A7, VCU_INV_Inverter_Enable, Turn the inverter OFF
000AD9A7, VCU_INV_Inverter_Discharge, Discharge Disable
000AD9A7, VCU_INV_Speed_Mode_Enable, 0
000AD9A7, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A7, VCU_INV_Torque_Command, -385
000AD9A7, VCU_INV_Speed_Command, -385
000AD9A7, VCU_INV_Direction_Command, CW
000AD9A7, VCU_INV_Inverter_Enable, Turn the Inverter ON
000AD9A7, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000AD9A7, VCU_INV_Speed_Mode_Enable, 1
000AD9A7, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A7, VCU_INV_Torque_Command, -391
000AD9A7, VCU_INV_Speed_Command, -391
000AD9A7, VCU_INV_Direction_Command, CW
000AD9A7, VCU_INV_Inverter_Enable, Turn the inverter OFF
000AD9A7, VCU_INV_Inverter_Discharge, Discharge Disable
000AD9A7, VCU_INV_Speed_Mode_Enable, 0
000AD9A7, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A8, VCU_INV_Torque_Command, -397
000AD9A8, VCU_INV_Speed_Command, -397
000AD9A8, VCU_INV_Direction_Command, CW
000AD9A8, VCU_INV_Inverter_Enable, Turn the Inverter ON
000AD9A8, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000AD9A8, VCU_INV_Speed_Mode_Enable, 1
000AD9A8, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A8, VCU_INV_Torque_Command, -402
000AD9A8, VCU_INV_Speed_Command, -402
000AD9A8, VCU_INV_Direction_Command, CW
000AD9A8, VCU_INV_Inverter_Enable, Turn the inverter OFF
000AD9A8, VCU_INV_Inverter_Discharge, Discharge Disable
000AD9A8, VCU_INV_Speed_Mode_Enable, 0
000AD9A8, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A8, VCU_INV_Torque_Command, -408
000AD9A8, VCU_INV_Speed_Command, -408
000AD9A8, VCU_INV_Direction_Command, CW
000AD9A8, VCU_INV_Inverter_Enable, Turn the Inverter ON
000AD9A8, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000AD9A8, VCU_INV_Speed_Mode_Enable, 1
000AD9A8, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A8, VCU_INV_Torque_Command, -414
000AD9A8, VCU_INV_Speed_Command, -414
000AD9A8, VCU_INV_Direction_Command, CW
000AD9A8, VCU_INV_Inverter_Enable, Turn the inverter OFF
000AD9A8, VCU_INV_Inverter_Discharge, Discharge Disable
000AD9A8, VCU_INV_Speed_Mode_Enable, 0
000AD9A8, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A8, VCU_INV_Torque_Command, -420
000AD9A8, VCU_INV_Speed_Command, -420
000AD9A8, VCU_INV_Direction_Command, CW
000AD9A8, VCU_INV_Inverter_Enable, Turn the Inverter ON
000AD9A8, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000AD9A8, VCU_INV_Speed_Mode_Enable, 1
000AD9A8, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A8, VCU_INV_Torque_Command, -425
000AD9A8, VCU_INV_Speed_Command, -425
000AD9A8, VCU_INV_Direction_Command, CW
000AD9A8, VCU_INV_Inverter_Enable, Turn the inverter OFF
000AD9A8, VCU_INV_Inverter_Discharge, Discharge Disable
000AD9A8, VCU_INV_Speed_Mode_Enable, 0
000AD9A8, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A8, VCU_INV_Torque_Command, -431
000AD9A8, VCU_INV_Speed_Command, -431
000AD9A8, VCU_INV_Direction_Command, CW
000AD9A8, VCU_INV_Inverter_Enable, Turn the Inverter ON
000AD9A8, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000AD9A8, VCU_INV_Speed_Mode_Enable, 1
000AD9A8, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A8, VCU_INV_Torque_Command, -437
000AD9A8, VCU_INV_Speed_Command, -437
000AD9A8, VCU_INV_Direction_Command, CW
000AD9A8, VCU_INV_Inverter_Enable, Turn the inverter OFF
000AD9A8, VCU_INV_Inverter_Discharge, Discharge Disable
000AD9A8, VCU_INV_Speed_Mode_Enable, 0
000AD9A8, VCU_INV_Torque_Limit_Command, -1000.0
000AD9A8, VCU_INV_Torque_Command, -442
000AD9A8, VCU_INV_Speed_Command, -442
000AD9A8, VCU_INV_Direction_Command, CW
000AD9A8, VCU_INV_Inverter_Enable, Turn the Inverter ON
000AD9A8, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000AD9A8, VCU_INV_Speed_Mode_Enable, 1
000AD9A8, VCU_INV_Torque_Limit_Command, -1000.0
000ADA80, VCU_INV_Torque_Command, -448
000ADA80, VCU_INV_Speed_Command, -448
000ADA80, VCU_INV_Direction_Command, CW
000ADA80, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA80, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA80, VCU_INV_Speed_Mode_Enable, 0
000ADA80, VCU_INV_Torque_Limit_Command, -1000.0
000ADA80, VCU_INV_Torque_Command, -453
000ADA80, VCU_INV_Speed_Command, -453
000ADA80, VCU_INV_Direction_Command, CW
000ADA80, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA80, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA80, VCU_INV_Speed_Mode_Enable, 1
000ADA80, VCU_INV_Torque_Limit_Command, -1000.0
000ADA80, VCU_INV_Torque_Command, -459
000ADA80, VCU_INV_Speed_Command, -459
000ADA80, VCU_INV_Direction_Command, CW
000ADA80, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA80, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA80, VCU_INV_Speed_Mode_Enable, 0
000ADA80, VCU_INV_Torque_Limit_Command, -1000.0
000ADA80, VCU_INV_Torque_Command, -465
000ADA80, VCU_INV_Speed_Command, -465
000ADA80, VCU_INV_Direction_Command, CW
000ADA80, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA80, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA80, VCU_INV_Speed_Mode_Enable, 1
000ADA80, VCU_INV_Torque_Limit_Command, -1000.0
000ADA80, VCU_INV_Torque_Command, -470
000ADA80, VCU_INV_Speed_Command, -470
000ADA80, VCU_INV_Direction_Command, CW
000ADA80, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA80, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA80, VCU_INV_Speed_Mode_Enable, 0
000ADA80, VCU_INV_Torque_Limit_Command, -1000.0
000ADA80, VCU_INV_Torque_Command, -476
000ADA80, VCU_INV_Speed_Command, -476
000ADA80, VCU_INV_Direction_Command, CW
000ADA80, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA80, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA80, VCU_INV_Speed_Mode_Enable, 1
000ADA80, VCU_INV_Torque_Limit_Command, -1000.0
000ADA81, VCU_INV_Torque_Command, -481
000ADA81, VCU_INV_Speed_Command, -481
000ADA81, VCU_INV_Direction_Command, CW
000ADA81, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA81, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA81, VCU_INV_Speed_Mode_Enable, 0
000ADA81, VCU_INV_Torque_Limit_Command, -1000.0
000ADA81, VCU_INV_Torque_Command, -487
000ADA81, VCU_INV_Speed_Command, -487
000ADA81, VCU_INV_Direction_Command, CW
000ADA81, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA81, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA81, VCU_INV_Speed_Mode_Enable, 1
000ADA81, VCU_INV_Torque_Limit_Command, -1000.0
000ADA81, VCU_INV_Torque_Command, -492
000ADA81, VCU_INV_Speed_Command, -492
000ADA81, VCU_INV_Direction_Command, CW
000ADA81, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA81, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA81, VCU_INV_Speed_Mode_Enable, 0
000ADA81, VCU_INV_Torque_Limit_Command, -1000.0
000ADA81, VCU_INV_Torque_Command, -498
000ADA81, VCU_INV_Speed_Command, -498
000ADA81, VCU_INV_Direction_Command, CW
000ADA81, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA81, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA81, VCU_INV_Speed_Mode_Enable, 1
000ADA81, VCU_INV_Torque_Limit_Command, -1000.0
000ADA81, VCU_INV_Torque_Command, -503
000ADA81, VCU_INV_Speed_Command, -503
000ADA81, VCU_INV_Direction_Command, CW
000ADA81, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA81, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA81, VCU_INV_Speed_Mode_Enable, 0
000ADA81, VCU_INV_Torque_Limit_Command, -1000.0
000ADA81, VCU_INV_Torque_Command, -509
000ADA81, VCU_INV_Speed_Command, -509
000ADA81, VCU_INV_Direction_Command, CW
000ADA81, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA81, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA81, VCU_INV_Speed_Mode_Enable, 1
000ADA81, VCU_INV_Torque_Limit_Command, -1000.0
000ADA81, VCU_INV_Torque_Command, -514
000ADA81, VCU_INV_Speed_Command, -514
000ADA81, VCU_INV_Direction_Command, CW
000ADA81, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA81, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA81, VCU_INV_Speed_Mode_Enable, 0
000ADA81, VCU_INV_Torque_Limit_Command, -1000.0
000ADA81, VCU_INV_Torque_Command, -519
000ADA81, VCU_INV_Speed_Command, -519
000ADA81, VCU_INV_Direction_Command, CW
000ADA81, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA81, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA81, VCU_INV_Speed_Mode_Enable, 1
000ADA81, VCU_INV_Torque_Limit_Command, -1000.0
000ADA81, VCU_INV_Torque_Command, -525
000ADA81, VCU_INV_Speed_Command, -525
000ADA81, VCU_INV_Direction_Command, CW
000ADA81, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA81, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA81, VCU_INV_Speed_Mode_Enable, 0
000ADA81, VCU_INV_Torque_Limit_Command, -1000.0
000ADA82, VCU_INV_Torque_Command, -530
000ADA82, VCU_INV_Speed_Command, -530
000ADA82, VCU_INV_Direction_Command, CW
000ADA82, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA82, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA82, VCU_INV_Speed_Mode_Enable, 1
000ADA82, VCU_INV_Torque_Limit_Command, -1000.0
000ADA82, VCU_INV_Torque_Command, -535
000ADA82, VCU_INV_Speed_Command, -535
000ADA82, VCU_INV_Direction_Command, CW
000ADA82, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA82, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA82, VCU_INV_Speed_Mode_Enable, 0
000ADA82, VCU_INV_Torque_Limit_Command, -1000.0
000ADA82, VCU_INV_Torque_Command, -541
000ADA82, VCU_INV_Speed_Command, -541
000ADA82, VCU_INV_Direction_Command, CW
000ADA82, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA82, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA82, VCU_INV_Speed_Mode_Enable, 1
000ADA82, VCU_INV_Torque_Limit_Command, -1000.0
000ADA82, VCU_INV_Torque_Command, -546
000ADA82, VCU_INV_Speed_Command, -546
000ADA82, VCU_INV_Direction_Command, CW
000ADA82, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA82, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA82, VCU_INV_Speed_Mode_Enable, 0
000ADA82, VCU_INV_Torque_Limit_Command, -1000.0
000ADA82, VCU_INV_Torque_Command, -551
000ADA82, VCU_INV_Speed_Command, -551
000ADA82, VCU_INV_Direction_Command, CW
000ADA82, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA82, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA82, VCU_INV_Speed_Mode_Enable, 1
000ADA82, VCU_INV_Torque_Limit_Command, -1000.0
000ADA82, VCU_INV_Torque_Command, -556
000ADA82, VCU_INV_Speed_Command, -556
000ADA82, VCU_INV_Direction_Command, CW
000ADA82, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA82, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA82, VCU_INV_Speed_Mode_Enable, 0
000ADA82, VCU_INV_Torque_Limit_Command, -1000.0
000ADA82, VCU_INV_Torque_Command, -562
000ADA82, VCU_INV_Speed_Command, -562
000ADA82, VCU_INV_Direction_Command, CW
000ADA82, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA82, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA82, VCU_INV_Speed_Mode_Enable, 1
000ADA82, VCU_INV_Torque_Limit_Command, -1000.0
000ADA82, VCU_INV_Torque_Command, -567
000ADA82, VCU_INV_Speed_Command, -567
000ADA82, VCU_INV_Direction_Command, CW
000ADA82, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA82, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA82, VCU_INV_Speed_Mode_Enable, 0
000ADA82, VCU_INV_Torque_Limit_Command, -1000.0
000ADA82, VCU_INV_Torque_Command, -572
000ADA82, VCU_INV_Speed_Command, -572
000ADA82, VCU_INV_Direction_Command, CW
000ADA82, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA82, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA82, VCU_INV_Speed_Mode_Enable, 1
000ADA82, VCU_INV_Torque_Limit_Command, -1000.0
000ADA83, VCU_INV_Torque_Command, -577
000ADA83, VCU_INV_Speed_Command, -577
000ADA83, VCU_INV_Direction_Command, CW
000ADA83, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA83, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA83, VCU_INV_Speed_Mode_Enable, 0
000ADA83, VCU_INV_Torque_Limit_Command, -1000.0
000ADA83, VCU_INV_Torque_Command, -582
000ADA83, VCU_INV_Speed_Command, -582
000ADA83, VCU_INV_Direction_Command, CW
000ADA83, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA83, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA83, VCU_INV_Speed_Mode_Enable, 1
000ADA83, VCU_INV_Torque_Limit_Command, -1000.0
000ADA83, VCU_INV_Torque_Command, -587
000ADA83, VCU_INV_Speed_Command, -587
000ADA83, VCU_INV_Direction_Command, CW
000ADA83, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA83, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA83, VCU_INV_Speed_Mode_Enable, 0
000ADA83, VCU_INV_Torque_Limit_Command, -1000.0
000ADA83, VCU_INV_Torque_Command, -592
000ADA83, VCU_INV_Speed_Command, -592
000ADA83, VCU_INV_Direction_Command, CW
000ADA83, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA83, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA83, VCU_INV_Speed_Mode_Enable, 1
000ADA83, VCU_INV_Torque_Limit_Command, -980.0
000ADA83, VCU_INV_Torque_Command, -597
000ADA83, VCU_INV_Speed_Command, -597
000ADA83, VCU_INV_Direction_Command, CW
000ADA83, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA83, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA83, VCU_INV_Speed_Mode_Enable, 0
000ADA83, VCU_INV_Torque_Limit_Command, -960.0
000ADA83, VCU_INV_Torque_Command, -602
000ADA83, VCU_INV_Speed_Command, -602
000ADA83, VCU_INV_Direction_Command, CW
000ADA83, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA83, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA83, VCU_INV_Speed_Mode_Enable, 1
000ADA83, VCU_INV_Torque_Limit_Command, -940.0
000ADA83, VCU_INV_Torque_Command, -607
000ADA83, VCU_INV_Speed_Command, -607
000ADA83, VCU_INV_Direction_Command, CW
000ADA83, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA83, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA83, VCU_INV_Speed_Mode_Enable, 0
000ADA83, VCU_INV_Torque_Limit_Command, -920.0
000ADA83, VCU_INV_Torque_Command, -612
000ADA83, VCU_INV_Speed_Command, -612
000ADA83, VCU_INV_Direction_Command, CW
000ADA83, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA83, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA83, VCU_INV_Speed_Mode_Enable, 1
000ADA83, VCU_INV_Torque_Limit_Command, -900.0
000ADA83, VCU_INV_Torque_Command, -617
000ADA83, VCU_INV_Speed_Command, -617
000ADA83, VCU_INV_Direction_Command, CW
000ADA83, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA83, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA83, VCU_INV_Speed_Mode_Enable, 0
000ADA83, VCU_INV_Torque_Limit_Command, -880.0
000ADA83, VCU_INV_Torque_Command, -622
000ADA83, VCU_INV_Speed_Command, -622
000ADA83, VCU_INV_Direction_Command, CW
000ADA83, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA83, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA83, VCU_INV_Speed_Mode_Enable, 1
000ADA83, VCU_INV_Torque_Limit_Command, -860.0
000ADA84, VCU_INV_Torque_Command, -627
000ADA84, VCU_INV_Speed_Command, -627
000ADA84, VCU_INV_Direction_Command, CW
000ADA84, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA84, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA84, VCU_INV_Speed_Mode_Enable, 0
000ADA84, VCU_INV_Torque_Limit_Command, -840.0
000ADA84, VCU_INV_Torque_Command, -632
000ADA84, VCU_INV_Speed_Command, -632
000ADA84, VCU_INV_Direction_Command, CW
000ADA84, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA84, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA84, VCU_INV_Speed_Mode_Enable, 1
000ADA84, VCU_INV_Torque_Limit_Command, -820.0
000ADA84, VCU_INV_Torque_Command, -637
000ADA84, VCU_INV_Speed_Command, -637
000ADA84, VCU_INV_Direction_Command, CW
000ADA84, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA84, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA84, VCU_INV_Speed_Mode_Enable, 0
000ADA84, VCU_INV_Torque_Limit_Command, -800.0
000ADA84, VCU_INV_Torque_Command, -642
000ADA84, VCU_INV_Speed_Command, -642
000ADA84, VCU_INV_Direction_Command, CW
000ADA84, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA84, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA84, VCU_INV_Speed_Mode_Enable, 1
000ADA84, VCU_INV_Torque_Limit_Command, -780.0
000ADA84, VCU_INV_Torque_Command, -647
000ADA84, VCU_INV_Speed_Command, -647
000ADA84, VCU_INV_Direction_Command, CW
000ADA84, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA84, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA84, VCU_INV_Speed_Mode_Enable, 0
000ADA84, VCU_INV_Torque_Limit_Command, -760.0
000ADA84, VCU_INV_Torque_Command, -651
000ADA84, VCU_INV_Speed_Command, -651
000ADA84, VCU_INV_Direction_Command, CW
000ADA84, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA84, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA84, VCU_INV_Speed_Mode_Enable, 1
000ADA84, VCU_INV_Torque_Limit_Command, -740.0
000ADA84, VCU_INV_Torque_Command, -982
000ADA84, VCU_INV_Speed_Command, -982
000ADA84, VCU_INV_Direction_Command, CCW
000ADA84, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA84, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA84, VCU_INV_Speed_Mode_Enable, 0
000ADA84, VCU_INV_Torque_Limit_Command, 1000.0
000ADA84, VCU_INV_Torque_Command, -981
000ADA84, VCU_INV_Speed_Command, -981
000ADA84, VCU_INV_Direction_Command, CCW
000ADA84, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA84, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA84, VCU_INV_Speed_Mode_Enable, 1
000ADA84, VCU_INV_Torque_Limit_Command, 1000.0
000ADA84, VCU_INV_Torque_Command, -979
000ADA84, VCU_INV_Speed_Command, -979
000ADA84, VCU_INV_Direction_Command, CCW
000ADA84, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA84, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA84, VCU_INV_Speed_Mode_Enable, 0
000ADA84, VCU_INV_Torque_Limit_Command, 1000.0
000ADA85, VCU_INV_Torque_Command, -978
000ADA85, VCU_INV_Speed_Command, -978
000ADA85, VCU_INV_Direction_Command, CCW
000ADA85, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA85, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA85, VCU_INV_Speed_Mode_Enable, 1
000ADA85, VCU_INV_Torque_Limit_Command, 1000.0
000ADA85, VCU_INV_Torque_Command, -977
000ADA85, VCU_INV_Speed_Command, -977
000ADA85, VCU_INV_Direction_Command, CCW
000ADA85, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA85, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA85, VCU_INV_Speed_Mode_Enable, 0
000ADA85, VCU_INV_Torque_Limit_Command, 1000.0
000ADA85, VCU_INV_Torque_Command, -975
000ADA85, VCU_INV_Speed_Command, -975
000ADA85, VCU_INV_Direction_Command, CCW
000ADA85, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA85, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA85, VCU_INV_Speed_Mode_Enable, 1
000ADA85, VCU_INV_Torque_Limit_Command, 1000.0
000ADA85, VCU_INV_Torque_Command, -974
000ADA85, VCU_INV_Speed_Command, -974
000ADA85, VCU_INV_Direction_Command, CCW
000ADA85, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA85, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA85, VCU_INV_Speed_Mode_Enable, 0
000ADA85, VCU_INV_Torque_Limit_Command, 1000.0
000ADA85, VCU_INV_Torque_Command, -973
000ADA85, VCU_INV_Speed_Command, -973
000ADA85, VCU_INV_Direction_Command, CCW
000ADA85, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA85, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA85, VCU_INV_Speed_Mode_Enable, 1
000ADA85, VCU_INV_Torque_Limit_Command, 1000.0
000ADA85, VCU_INV_Torque_Command, -971
000ADA85, VCU_INV_Speed_Command, -971
000ADA85, VCU_INV_Direction_Command, CCW
000ADA85, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA85, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA85, VCU_INV_Speed_Mode_Enable, 0
000ADA85, VCU_INV_Torque_Limit_Command, 1000.0
000ADA85, VCU_INV_Torque_Command, -970
000ADA85, VCU_INV_Speed_Command, -970
000ADA85, VCU_INV_Direction_Command, CCW
000ADA85, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA85, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA85, VCU_INV_Speed_Mode_Enable, 1
000ADA85, VCU_INV_Torque_Limit_Command, 1000.0
000ADA85, VCU_INV_Torque_Command, -968
000ADA85, VCU_INV_Speed_Command, -968
000ADA85, VCU_INV_Direction_Command, CCW
000ADA85, VCU_INV_Inverter_Enable, Turn the inverter OFF
000ADA85, VCU_INV_Inverter_Discharge, Discharge Disable
000ADA85, VCU_INV_Speed_Mode_Enable, 0
000ADA85, VCU_INV_Torque_Limit_Command, 1000.0
000ADA85, VCU_INV_Torque_Command, -967
000ADA85, VCU_INV_Speed_Command, -967
000ADA85, VCU_INV_Direction_Command, CCW
000ADA85, VCU_INV_Inverter_Enable, Turn the Inverter ON
000ADA85, VCU_INV_Inverter_Discharge, Discharge Enable if EEPROM param
000ADA85, VCU_INV_Speed_Mode_Enable, 1
000ADA85, VCU_INV_Torque_Limit_Command, 1000.0
000ADA86, VCU_INV_Torque_Command, -965
